title_a,price_a,title_b,price_b,model_id_a,model_id_b,category,is_duplicate,difficulty
‏מכונת אספרסו Breville BES878,2590.0,‏מכונת אספרסו Breville BES878 אחריות יבואן רשמי,2590.0,1068710,1068710,coffee_machines,True,seller_noise
‏מכונת אספרסו Nespresso Inissia EN 80,310.0,מכונת קפה אוטומטית ‏מכונת אספרסו Nespresso Inissia EN 80,310.0,1087191,1087191,coffee_machines,True,add_prefix
‏מכונת אספרסו Nespresso Inissia EN 80,371.0,‏מכונת אספרסו Nespresso Inissia EN 80 DCS,371.0,1087191,1087191,coffee_machines,True,seller_noise
אוזניות  ‏חוטיות Razer BlackShark V2 X,156.0,אוזניות אלחוטיות ‏חוטיות Razer BlackShark V2 X,156.0,1090131,1090131,headphones,True,add_prefix
אוזניות  ‏חוטיות Razer BlackShark V2 X,159.0,BlackShark V2 X אוזניות ‏חוטיות Razer,159.0,1090131,1090131,headphones,True,reorder
מחשב נייד Apple MacBook Air 13 MGN63HB/A MGN93HB/A MGND3HB/A,2525.0,Apple MacBook Air 13 MGN63HB/A MGN93HB/A MGND3HB/A,2525.0,1099482,1099482,laptops,True,drop_prefix
‏מכונת אספרסו Delonghi ECAM350.15.B,2142.0,‏מכונת אספרסו Delonghi ECAM350.15.B בצבע כחול,2142.0,1105069,1105069,coffee_machines,True,color_noise
אוזניות  ‏אלחוטיות JBL Tune 510BT,140.0,אוזניות  ‏אלחוטי JBL Tune 510BT,140.0,1113020,1113020,headphones,True,abbreviate
אוזניות  ‏אלחוטיות JBL Tune 510BT,105.0,אוזניות  ‏אלחוטיות JBL Tune 510BT בצבע כחול,105.0,1113020,1113020,headphones,True,color_noise
‏מכונת אספרסו Breville Barista Express with Milk Jug Thermal BES875,2373.0,‏מכונת אספרסו Breville Barista Express with Milk Jug Thermal BES875 יבואן מורשה,2373.0,1114609,1114609,coffee_machines,True,seller_noise
‏מקציף חלב Hemilton HEM-243,141.0,Hemilton HEM-243 ‏מקציף חלב,141.0,1121265,1121265,coffee_machines,True,reorder
‏מקציף חלב Hemilton HEM-243,163.0,‏מקציף חלב Hemilton HEM-243 בצבע שחור,163.0,1121265,1121265,coffee_machines,True,color_noise
‏מכונת אספרסו Breville BES875BSS,2914.0,Breville BES875BSS ‏מכונת אספרסו,2914.0,1126869,1126869,coffee_machines,True,reorder
‏מכונת אספרסו Breville BES875BSS,2185.0,‏מכונת אספרסו Breville BES875BSS Blue,2185.0,1126869,1126869,coffee_machines,True,color_noise
‏מכונת אספרסו Breville BES875BSS,2111.0,מכונת קפה אוטומטית ‏מכונת אספרסו Breville BES875BSS,2111.0,1126869,1126869,coffee_machines,True,add_prefix
‏מכונת אספרסו Nespresso Citiz&Milk EN267,839.0,‏מכונת אספרסו Nespresso Citiz&Milk EN267 אחריות יבואן רשמי,839.0,1127066,1127066,coffee_machines,True,seller_noise
‏מכונת אספרסו Nespresso Citiz&Milk EN267,672.0,Nespresso Citiz&Milk EN267 ‏מכונת אספרסו,672.0,1127066,1127066,coffee_machines,True,reorder
‏מכונת אספרסו Delonghi Specialista Prestigio EC 9355.M,3043.0,‏מכונת אספרסו Delonghi Specialista Prestigio EC 9355.M Black,3043.0,1154861,1154861,coffee_machines,True,color_noise
‏מכונת אספרסו Delonghi La Specialista Arte EC9155,2201.0,מכונת אספרסו ‏מכונת אספרסו Delonghi La Specialista Arte EC9155,2201.0,1155620,1155620,coffee_machines,True,add_prefix
אוזניות Samsung Galaxy Buds2 Pro SM-R510 True Wireless,437.0,Samsung Galaxy Buds2 Pro SM-R510 True Wireless,437.0,1167384,1167384,headphones,True,drop_prefix
אוזניות Samsung Galaxy Buds2 Pro SM-R510 True Wireless,351.0,אוזניות Samsung Galaxy Buds2 Pro SM-R510 True Wireless משלוח חינם,351.0,1167384,1167384,headphones,True,seller_noise
אוזניות JBL Tune 720BT Bluetooth,177.0,JBL Tune 720BT Bluetooth,177.0,1187828,1187828,headphones,True,drop_prefix
אוזניות JBL Tune 720BT Bluetooth,238.0,Tune 720BT Bluetooth אוזניות JBL,238.0,1187828,1187828,headphones,True,reorder
אוזניות JBL Tune 720BT Bluetooth,177.0,אוזניות JBL Tune 720BT Bluetooth משלוח חינם,177.0,1187828,1187828,headphones,True,seller_noise
אוזניות JBL Tune 720BT Bluetooth,177.0,אוזניות ג'יי בי אל Tune 720BT Bluetooth,177.0,1187828,1187828,headphones,True,brand_swap
מחשב נייד Asus VivoBook 15 X1504VA-BQ149,2873.0,מחשב נייד אסוס VivoBook 15 X1504VA-BQ149,2873.0,1191538,1191538,laptops,True,brand_swap
מחשב נייד Asus VivoBook 15 X1504VA-BQ149,3042.0,Asus VivoBook 15 X1504VA-BQ149,3042.0,1191538,1191538,laptops,True,drop_prefix
מחשב נייד Lenovo V15 G4 AMN 82YU0044IV,1192.0,מחשב נייד Lenovo V15 G4 AMN 82YU0044IV Black,1192.0,1194008,1194008,laptops,True,color_noise
מחשב נייד Lenovo V15 G4 AMN 82YU0044IV,1278.0,נייד Lenovo V15 G4 AMN 82YU0044IV,1278.0,1194008,1194008,laptops,True,add_prefix
‏מכונת אספרסו Delonghi Dedica Arte EC885,789.0,Dedica Arte EC885 ‏מכונת אספרסו Delonghi,789.0,1200012,1200012,coffee_machines,True,reorder
אוזניות JBL Wave Beam True Wireless,174.0,אוזניות JBL Wave Beam True Wireless בצבע אפור,174.0,1200216,1200216,headphones,True,color_noise
אוזניות JBL Wave Beam True Wireless,212.0,אוזניות JBL Wave Beam True Wireless יבואן רשמי,212.0,1200216,1200216,headphones,True,seller_noise
אוזניות JBL Tune 770NC Bluetooth,209.0,אוזניות בלוטות' JBL Tune 770NC Bluetooth,209.0,1201031,1201031,headphones,True,add_prefix
אוזניות JBL Tune 770NC Bluetooth,274.0,אוזניות JBL Tune 770NC Bluetooth בצבע כחול,274.0,1201031,1201031,headphones,True,color_noise
אוזניות JBL Tune 770NC Bluetooth,284.0,אוזניות JBL Tune 770NC BT,284.0,1201031,1201031,headphones,True,abbreviate
מחשב נייד Lenovo IdeaPad Slim 3 15IAH8 83ER003UIV,2202.0,מחשב נייד Lenovo IdeaPad Slim 3 15IAH8 83ER003UIV בצבע כסף,2202.0,1203016,1203016,laptops,True,color_noise
מחשב נייד Lenovo IdeaPad Slim 3 15IAH8 83ER003UIV,1896.0,מחשב נייד Lenovo IdeaPad Slim 3 15IAH8 83ER003UIV יבואן רשמי,1896.0,1203016,1203016,laptops,True,seller_noise
אוזניות Sony WF-1000XM5 True Wireless,877.0,אוזניות סוני WF-1000XM5 True Wireless,877.0,1203553,1203553,headphones,True,brand_swap
טלפון סלולרי Apple iPhone 15 128GB,2471.0,טלפון חכם Apple iPhone 15 128GB,2471.0,1207018,1207018,smartphones,True,add_prefix
טלפון סלולרי Apple iPhone 15 128GB,1807.0,Apple iPhone 15 128GB,1807.0,1207018,1207018,smartphones,True,drop_prefix
טלפון סלולרי Apple iPhone 15 128GB,2496.0,iPhone 15 128GB טלפון סלולרי Apple,2496.0,1207018,1207018,smartphones,True,reorder
טלפון סלולרי Apple iPhone 15 128GB,2182.0,טלפון סלולרי Apple iPhone 15 128GB אחריות יבואן רשמי,2182.0,1207018,1207018,smartphones,True,seller_noise
טלפון סלולרי Apple iPhone 15 256GB,3107.0,טלפון סלולרי Apple iPhone 15 256GB DCS,3107.0,1207020,1207020,smartphones,True,seller_noise
טלפון סלולרי Apple iPhone 15 256GB,2239.0,iPhone 15 256GB טלפון סלולרי Apple,2239.0,1207020,1207020,smartphones,True,reorder
‏מקציף חלב Hemilton HEM-265/HEM-264,199.0,Hemilton HEM-265/HEM-264 ‏מקציף חלב,199.0,1207103,1207103,coffee_machines,True,reorder
‏מקציף חלב Hemilton HEM-265/HEM-264,238.0,מכונת קפה אוטומטית ‏מקציף חלב Hemilton HEM-265/HEM-264,238.0,1207103,1207103,coffee_machines,True,add_prefix
‏מקציף חלב Hemilton HEM-265/HEM-264,217.0,‏מקציף חלב Hemilton HEM-265/HEM-264 Black,217.0,1207103,1207103,coffee_machines,True,color_noise
אוזניות Apple AirPods Pro 2 MagSafe USB-C True Wireless,646.0,אוזניות אפל AirPods Pro 2 MagSafe USB-C True Wireless,646.0,1208575,1208575,headphones,True,brand_swap
אוזניות Apple AirPods Pro 2 MagSafe USB-C True Wireless,619.0,אוזניות Apple AirPods Pro 2 MagSafe USB-C TW,619.0,1208575,1208575,headphones,True,abbreviate
אוזניות Apple AirPods Pro 2 MagSafe USB-C True Wireless,576.0,Apple AirPods Pro 2 MagSafe USB-C True Wireless,576.0,1208575,1208575,headphones,True,drop_prefix
אוזניות  ‏אלחוטיות Bose QuietComfort Ultra,952.0,אוזניות  ‏אלחוטי Bose QuietComfort Ultra,952.0,1210045,1210045,headphones,True,abbreviate
אוזניות  ‏אלחוטיות Bose QuietComfort Ultra,1009.0,אוזניות  ‏אלחוטיות בוז QuietComfort Ultra,1009.0,1210045,1210045,headphones,True,brand_swap
אוזניות  ‏אלחוטיות Bose QuietComfort Ultra,1078.0,אוזניות בלוטות' ‏אלחוטיות Bose QuietComfort Ultra,1078.0,1210045,1210045,headphones,True,add_prefix
אוזניות Samsung Galaxy Buds FE SM-R400 True Wireless,197.0,אוזניות סמסונג Galaxy Buds FE SM-R400 True Wireless,197.0,1211517,1211517,headphones,True,brand_swap
אוזניות Samsung Galaxy Buds FE SM-R400 True Wireless,207.0,אוזניות Samsung Galaxy Buds FE  True Wireless,207.0,1211517,1211517,headphones,True,drop_part
אוזניות Samsung Galaxy Buds FE SM-R400 True Wireless,240.0,FE SM-R400 True Wireless אוזניות Samsung Galaxy Buds,240.0,1211517,1211517,headphones,True,reorder
טלפון סלולרי Samsung Galaxy S24 SM-S921B/DS 256GB 8GB RAM,1606.0,Samsung Galaxy S24 SM-S921B/DS 256GB 8GB RAM,1606.0,1215643,1215643,smartphones,True,drop_prefix
טלפון סלולרי Samsung Galaxy S24 SM-S921B/DS 256GB 8GB RAM,2024.0,מכשיר סלולרי Samsung Galaxy S24 SM-S921B/DS 256GB 8GB RAM,2024.0,1215643,1215643,smartphones,True,add_prefix
טלוויזיה Xiaomi A Pro L32M8-A2ME  ‏32 ‏אינטש,554.0,טלוויזיה שיאומי A Pro L32M8-A2ME  ‏32 ‏אינטש,554.0,1216736,1216736,tvs,True,brand_swap
טלוויזיה Xiaomi A Pro L32M8-A2ME  ‏32 ‏אינטש,611.0,טלוויזיה Xiaomi A Pro L32M8-A2ME  ‏32 ‏אינטש אחריות יבואן רשמי,611.0,1216736,1216736,tvs,True,seller_noise
‏מכונת אספרסו Smeg ECF02,1566.0,מכונת קפה אוטומטית ‏מכונת אספרסו Smeg ECF02,1566.0,1218026,1218026,coffee_machines,True,add_prefix
טלוויזיה MAG CR32E HD Ready  ‏32 ‏אינטש,417.0,TV MAG CR32E HD Ready  ‏32 ‏אינטש,417.0,1219131,1219131,tvs,True,add_prefix
טלוויזיה MAG CR32E HD Ready  ‏32 ‏אינטש,412.0,טלוויזיה MAG CR32E HD Ready  ‏32 ‏אינטש אחריות מעבדות,412.0,1219131,1219131,tvs,True,seller_noise
‏מכונת אספרסו Gaggia EG2109,695.0,‏מכונת אספרסו Gaggia EG2109 יבואן מורשה,695.0,1224100,1224100,coffee_machines,True,seller_noise
‏מכונת אספרסו Gaggia EG2109,745.0,מכונת אספרסו ‏מכונת אספרסו Gaggia EG2109,745.0,1224100,1224100,coffee_machines,True,add_prefix
מחשב נייד Lenovo IdeaPad Slim 3 15IRH8 83EM00AXIV,3156.0,Lenovo IdeaPad Slim 3 15IRH8 83EM00AXIV,3156.0,1225445,1225445,laptops,True,drop_prefix
מחשב נייד Lenovo IdeaPad Slim 3 15IRH8 83EM00AXIV,2451.0,מחשב נייד Lenovo IdeaPad Slim 3 15IRH8 83EM00AXIV בצבע כחול,2451.0,1225445,1225445,laptops,True,color_noise
‏מכונת אספרסו Delonghi Magnifica Start ECAM220.60.B,1959.0,Magnifica Start ECAM220.60.B ‏מכונת אספרסו Delonghi,1959.0,1225992,1225992,coffee_machines,True,reorder
‏מכונת אספרסו Delonghi Rivelia EXAM440.55,4028.0,Delonghi Rivelia EXAM440.55 ‏מכונת אספרסו,4028.0,1226172,1226172,coffee_machines,True,reorder
"טלוויזיה 55"" Samsung NEO QLED דגם QE55QN85D",4353.0,"טלוויזיה 55"" סמסונג NEO QLED דגם QE55QN85D",4353.0,1226223,1226223,tvs,True,brand_swap
"טלוויזיה 55"" Samsung NEO QLED דגם QE55QN85D",3662.0,"55"" Samsung NEO QLED דגם QE55QN85D",3662.0,1226223,1226223,tvs,True,drop_prefix
טלוויזיה Samsung QE65Q80D 4K  ‏65 ‏אינטש,2856.0,טלוויזיה סמסונג QE65Q80D 4K  ‏65 ‏אינטש,2856.0,1226333,1226333,tvs,True,brand_swap
טלוויזיה Samsung QE65Q80D 4K  ‏65 ‏אינטש,2918.0,TV Samsung QE65Q80D 4K  ‏65 ‏אינטש,2918.0,1226333,1226333,tvs,True,add_prefix
טלוויזיה Samsung QE65Q80D 4K  ‏65 ‏אינטש,2994.0,4K ‏65 ‏אינטש טלוויזיה Samsung QE65Q80D,2994.0,1226333,1226333,tvs,True,reorder
אוזניות Sennheiser Momentum True Wireless 4 True Wireless,686.0,אוזניות אלחוטיות Sennheiser Momentum True Wireless 4 True Wireless,686.0,1227130,1227130,headphones,True,add_prefix
טלוויזיה Samsung UE98DU9000 4K  ‏98 ‏אינטש,5590.0,טלוויזיה סמסונג UE98DU9000 4K  ‏98 ‏אינטש,5590.0,1227963,1227963,tvs,True,brand_swap
אוזניות Samsung Galaxy Buds3 Pro SM-R630 True Wireless,544.0,אוזניות Samsung Galaxy Buds3 Pro SM-R630 True Wireless בצבע שחור,544.0,1228604,1228604,headphones,True,color_noise
אוזניות Samsung Galaxy Buds3 Pro SM-R630 True Wireless,468.0,אוזניות Samsung Galaxy Buds3 Pro  True Wireless,468.0,1228604,1228604,headphones,True,drop_part
מכונת אספרסו Delonghi ECAM21.117.B,1506.0,מכונת אספרסו Delonghi ECAM21.117.B בצבע כסף,1506.0,1232360,1232360,coffee_machines,True,color_noise
מכונת אספרסו Delonghi ECAM21.117.B,1704.0,Delonghi ECAM21.117.B,1704.0,1232360,1232360,coffee_machines,True,drop_prefix
טלפון סלולרי Apple iPhone 16 Pro Max 256GB,4371.0,טלפון סלולרי Apple iPhone 16 Pro Max 256GB DCS,4371.0,1233992,1233992,smartphones,True,seller_noise
טלפון סלולרי Apple iPhone 16 Pro Max 256GB,4809.0,Apple iPhone 16 Pro Max 256GB,4809.0,1233992,1233992,smartphones,True,drop_prefix
טלפון סלולרי Apple iPhone 16 Pro Max 256GB,4782.0,מכשיר סלולרי Apple iPhone 16 Pro Max 256GB,4782.0,1233992,1233992,smartphones,True,add_prefix
טלפון סלולרי Apple iPhone 16 128GB,2779.0,טלפון סלולרי Apple iPhone 16 128GB DCS,2779.0,1234002,1234002,smartphones,True,seller_noise
טלפון סלולרי Apple iPhone 16 128GB,2345.0,טלפון סלולרי Apple iPhone 16 128GB בצבע שחור,2345.0,1234002,1234002,smartphones,True,color_noise
אוזניות  ‏אלחוטיות Apple AirPods 4 MXP63ZM/A MXP63LL/A MXP63HN/A,366.0,‏אלחוטיות Apple AirPods 4 MXP63ZM/A MXP63LL/A MXP63HN/A,366.0,1234891,1234891,headphones,True,drop_prefix
אוזניות  ‏אלחוטיות Apple AirPods 4 MXP63ZM/A MXP63LL/A MXP63HN/A,506.0,4 MXP63ZM/A MXP63LL/A MXP63HN/A אוזניות ‏אלחוטיות Apple AirPods,506.0,1234891,1234891,headphones,True,reorder
אוזניות  ‏אלחוטיות Apple AirPods 4 MXP63ZM/A MXP63LL/A MXP63HN/A,495.0,אוזניות בלוטות' ‏אלחוטיות Apple AirPods 4 MXP63ZM/A MXP63LL/A MXP63HN/A,495.0,1234891,1234891,headphones,True,add_prefix
אוזניות Apple AirPods 4 with Active Noise Cancellation MXP93ZM/A True Wireless,646.0,אוזניות אפל AirPods 4 with Active Noise Cancellation MXP93ZM/A True Wireless,646.0,1234892,1234892,headphones,True,brand_swap
אוזניות Apple AirPods 4 with Active Noise Cancellation MXP93ZM/A True Wireless,639.0,אוזניות בלוטות' Apple AirPods 4 with Active Noise Cancellation MXP93ZM/A True Wireless,639.0,1234892,1234892,headphones,True,add_prefix
אוזניות Apple AirPods 4 with Active Noise Cancellation MXP93ZM/A True Wireless,564.0,אוזניות Apple AirPods 4 with Active Noise Cancellation MXP93ZM/A True Wireless Silver,564.0,1234892,1234892,headphones,True,color_noise
אוזניות  ‏אלחוטיות Apple AirPods Max USB-C,1912.0,‏אלחוטיות Apple AirPods Max USB-C,1912.0,1234904,1234904,headphones,True,drop_prefix
אוזניות  ‏אלחוטיות Apple AirPods Max USB-C,1982.0,אוזניות  ‏אלחוטי Apple AirPods Max USB-C,1982.0,1234904,1234904,headphones,True,abbreviate
אוזניות  ‏אלחוטיות Apple AirPods Max USB-C,1528.0,אוזניות  ‏אלחוטיות Apple AirPods Max USB-C משלוח חינם,1528.0,1234904,1234904,headphones,True,seller_noise
אוזניות Xiaomi Redmi Buds 6 Play True Wireless,77.0,אוזניות שיאומי Redmi Buds 6 Play True Wireless,77.0,1236640,1236640,headphones,True,brand_swap
אוזניות Xiaomi Redmi Buds 6 Play True Wireless,72.0,אוזניות Xiaomi Redmi Buds 6 Play TW,72.0,1236640,1236640,headphones,True,abbreviate
אוזניות Xiaomi Redmi Buds 6 Play True Wireless,69.0,אוזניות אלחוטיות Xiaomi Redmi Buds 6 Play True Wireless,69.0,1236640,1236640,headphones,True,add_prefix
מחשב נייד Lenovo V14 G4 IRU 83A0007VIV,1347.0,מחשב נייד Lenovo V14 G4 IRU 83A0007VIV יבואן מורשה,1347.0,1237484,1237484,laptops,True,seller_noise
מחשב נייד Lenovo V14 G4 IRU 83A0007VIV,1251.0,מחשב נייד Lenovo V14 G4 IRU 83A0007VIV Silver,1251.0,1237484,1237484,laptops,True,color_noise
מחשב נייד Apple MacBook Air 13 M2 MC7U4HB/A MC7V4HB/A MC7W4HB/A MC7X4HB/A,3481.0,מחשב נייד אפל MacBook Air 13 M2 MC7U4HB/A MC7V4HB/A MC7W4HB/A MC7X4HB/A,3481.0,1237766,1237766,laptops,True,brand_swap
מחשב נייד Apple MacBook Air 13 M2 MC7U4HB/A MC7V4HB/A MC7W4HB/A MC7X4HB/A,3315.0,מחשב נייד Apple MacBook Air 13 M2 MC7U4HB/A MC7V4HB/A MC7W4HB/A MC7X4HB/A Black,3315.0,1237766,1237766,laptops,True,color_noise
מחשב נייד Apple MacBook Air 13 M2 MC7U4HB/A MC7V4HB/A MC7W4HB/A MC7X4HB/A,3477.0,נייד Apple MacBook Air 13 M2 MC7U4HB/A MC7V4HB/A MC7W4HB/A MC7X4HB/A,3477.0,1237766,1237766,laptops,True,add_prefix
אוזניות Anker Soundcore Space One Pro Bluetooth,507.0,אוזניות Anker Soundcore Space One Pro Bluetooth בצבע כחול,507.0,1240770,1240770,headphones,True,color_noise
טלפון סלולרי Xiaomi Poco X7 Pro 512GB 12GB RAM,1387.0,טלפון סלולרי שיאומי Poco X7 Pro 512GB 12GB RAM,1387.0,1240775,1240775,smartphones,True,brand_swap
טלפון סלולרי Xiaomi Poco X7 Pro 512GB 12GB RAM,1103.0,טלפון סלולרי Xiaomi Poco X7 Pro 512GB 12GB RAM משלוח חינם,1103.0,1240775,1240775,smartphones,True,seller_noise
טלפון סלולרי Samsung Galaxy S25 Plus SM-S936B/DS 256GB 12GB RAM,2538.0,טלפון סלולרי Samsung Galaxy S25 Plus SM-S936B/DS 256GB 12GB RAM Blue,2538.0,1241793,1241793,smartphones,True,color_noise
טלפון סלולרי Samsung Galaxy S25 Plus SM-S936B/DS 256GB 12GB RAM,2901.0,טלפון סלולרי Samsung Galaxy S25 Plus SM-S936B/DS 256GB 12GB RAM אחריות יבואן רשמי,2901.0,1241793,1241793,smartphones,True,seller_noise
‏מכונת אספרסו Ninja Luxe Essential ES501EU,1265.0,‏מכונת אספרסו Ninja Luxe Essential ES501EU משלוח חינם,1265.0,1241809,1241809,coffee_machines,True,seller_noise
‏מכונת אספרסו Ninja Luxe Essential ES501EU,1192.0,Luxe Essential ES501EU ‏מכונת אספרסו Ninja,1192.0,1241809,1241809,coffee_machines,True,reorder
טלפון סלולרי Samsung Galaxy S25 SM-S931B/DS 256GB 12GB RAM,2126.0,S25 SM-S931B/DS 256GB 12GB RAM טלפון סלולרי Samsung Galaxy,2126.0,1242015,1242015,smartphones,True,reorder
טלפון סלולרי Samsung Galaxy S25 SM-S931B/DS 256GB 12GB RAM,2513.0,טלפון סלולרי Samsung Galaxy S25 /DS 256GB 12GB RAM,2513.0,1242015,1242015,smartphones,True,drop_part
